open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-15 13:00:00,105289.81,105595.6,105220.65,105483.32,216.99618,2025-06-15 13:29:59.999,22877273.85288290,51211,115.84661000,12211972.82935710,0
2025-06-15 13:30:00,105483.33,105660.31,105294.11,105515.97,133.86186,2025-06-15 13:59:59.999,14118386.01201840,48239,67.39256000,7108250.96442370,0
2025-06-15 14:00:00,105515.97,105560.0,105308.82,105372.52,123.79566,2025-06-15 14:29:59.999,13049449.53915520,40704,46.36489000,4886873.28220860,0
2025-06-15 14:30:00,105372.52,105838.24,105316.89,105657.64,212.20874,2025-06-15 14:59:59.999,22421741.75034880,47991,110.93303000,11721746.66032220,0
2025-06-15 15:00:00,105657.63,105732.3,105564.73,105732.29,171.991,2025-06-15 15:29:59.999,18167993.35248930,35844,61.70281000,6517807.39354010,0
2025-06-15 15:30:00,105732.29,105794.12,105539.0,105564.0,129.26717,2025-06-15 15:59:59.999,13658558.42655690,27801,51.35936000,5426721.71087000,0
2025-06-15 16:00:00,105563.99,105687.74,105333.33,105416.06,217.56996,2025-06-15 16:29:59.999,22956099.06536290,35557,86.10313000,9086805.17745030,0
2025-06-15 16:30:00,105416.06,105592.93,105332.0,105567.24,112.27922,2025-06-15 16:59:59.999,11843190.13945720,28273,50.15655000,5290465.70311850,0
2025-06-15 17:00:00,105567.24,105573.53,105476.4,105536.51,77.78878,2025-06-15 17:29:59.999,8209041.35604420,25613,35.15049000,3709366.26217270,0
2025-06-15 17:30:00,105536.5,105777.09,105502.53,105689.64,116.28735,2025-06-15 17:59:59.999,12289688.02215380,32261,61.21849000,6469318.66678330,0
2025-06-15 18:00:00,105689.65,105689.65,105472.0,105534.9,84.26539,2025-06-15 18:29:59.999,8893640.88731700,24061,27.17499000,2867560.00244590,0
2025-06-15 18:30:00,105534.9,105567.61,105472.58,105485.29,73.0447,2025-06-15 18:59:59.999,7707105.47052360,18893,35.54830000,3750603.65474840,0
2025-06-15 19:00:00,105485.29,105566.43,105471.0,105486.01,71.86812,2025-06-15 19:29:59.999,7582919.18126620,16256,33.65431000,3550764.88854790,0
2025-06-15 19:30:00,105486.0,105516.45,105082.97,105294.19,222.87411,2025-06-15 19:59:59.999,23460670.65081170,44464,88.78643000,9345497.83270210,0
2025-06-15 20:00:00,105294.19,105300.0,104942.75,104989.67,184.63939,2025-06-15 20:29:59.999,19399150.96454960,41249,58.07814000,6101683.72111750,0
2025-06-15 20:30:00,104989.67,105085.24,104600.13,104729.53,268.93184,2025-06-15 20:59:59.999,28179288.60700920,72162,92.47214000,9688573.44705690,0
2025-06-15 21:00:00,104729.53,104812.0,104494.53,104812.0,331.3954,2025-06-15 21:29:59.999,34672166.45170780,61355,155.61595000,16281784.84412860,0
2025-06-15 21:30:00,104811.99,104828.94,104526.74,104807.75,146.1068,2025-06-15 21:59:59.999,15297799.35661090,41564,60.11018000,6293434.01974000,0
2025-06-15 22:00:00,104807.75,105285.71,104734.42,105174.49,276.25179,2025-06-15 22:29:59.999,29024971.28949550,103883,129.44369000,13598140.28534170,0
2025-06-15 22:30:00,105174.49,105359.96,105039.82,105263.51,155.98029,2025-06-15 22:59:59.999,16412578.32527820,59106,51.96051000,5467235.89001150,0
2025-06-15 23:00:00,105263.52,105469.46,105226.79,105423.14,167.15777,2025-06-15 23:29:59.999,17611149.70216220,56971,81.32580000,8568608.46101670,0
2025-06-15 23:30:00,105423.13,105617.82,105423.13,105594.01,214.2583,2025-06-15 23:59:59.999,22611984.53442060,51655,116.16932000,12259396.17090680,0
2025-06-16 00:00:00,105594.02,105769.85,105370.28,105470.17,256.4356,2025-06-16 00:29:59.999,27071301.34462350,64140,106.32475000,11225022.61179060,0
